6dN,d,omega,obs_r,pred_r,resid
30,5,1,0.9129,0.8845,0.0284
30,5,2,0.9575,0.9504,0.0072
30,5,3,1.0110,1.0318,-0.0208
30,5,4,1.0782,1.1213,-0.0431
30,5,5,1.1612,1.2059,-0.0447
30,5,6,1.2123,1.2486,-0.0362
42,7,1,0.7291,0.8652,-0.1361
42,7,2,0.8798,0.9386,-0.0588
42,7,3,1.0490,1.0337,0.0153
42,7,4,1.2208,1.1492,0.0716
42,7,5,1.3670,1.2820,0.0850
42,7,6,1.5491,1.4190,0.1301
60,10,1,0.7905,0.8224,-0.0319
60,10,2,0.8803,0.9127,-0.0324
60,10,3,1.0170,1.0389,-0.0220
60,10,4,1.2179,1.2105,0.0074
60,10,5,1.4683,1.4414,0.0269
60,10,6,1.8040,1.7379,0.0661
210,35,1,1.1478,0.9830,0.1648
210,35,2,1.0743,1.0071,0.0672
210,35,3,0.9867,1.0170,-0.0303
210,35,4,0.8664,0.9865,-0.1200
210,35,5,0.6810,0.8730,-0.1920
210,35,6,0.4132,0.6205,-0.2073
