6dN,d,omega,obs_r,pred_r,resid
30,5,1,0.9100,0.8845,0.0255
30,5,2,0.9569,0.9554,0.0015
30,5,3,1.0161,1.0450,-0.0289
30,5,4,1.1155,1.1457,-0.0302
30,5,5,1.1885,1.2421,-0.0536
42,7,1,0.7304,0.8651,-0.1348
42,7,2,0.8952,0.9441,-0.0489
42,7,3,1.0564,1.0497,0.0067
42,7,4,1.2950,1.1827,0.1123
42,7,5,1.4209,1.3408,0.0801
60,10,1,0.7844,0.8225,-0.0381
60,10,2,0.8893,0.9202,-0.0309
60,10,3,1.0543,1.0613,-0.0070
60,10,4,1.2387,1.2606,-0.0219
60,10,5,1.5537,1.5337,0.0199
210,35,1,1.1357,0.9830,0.1526
210,35,2,1.0726,1.0086,0.0640
210,35,3,0.9788,1.0172,-0.0384
210,35,4,0.8180,0.9722,-0.1543
210,35,5,0.6108,0.8124,-0.2017
